unix timestamp;doserate (uSv/h);lat;lng;wgs84_alt (m.);speed (m/s);cps;cp_2s;horizontal accuracy (radius of 68% confidence [m]);marker type (2-circle, 1-marker);SE (1 σ)[%]
1752939537;0.01794;45.330970764;37.266674042;9.899999619;1.473649740;1.71487;1.50000;2.2000;2;11.5
1752939541;0.01686;45.330978394;37.266643524;10.699999809;1.353204727;1.61180;0.00000;2.2000;2;11.5
1752939543;0.01716;45.330970764;37.266601563;11.100000381;1.297099948;1.64061;1.00000;2.2000;2;11.5
1752939545;0.01770;45.330982208;37.266551971;11.399999619;1.268275499;1.69231;2.50000;2.3000;2;11.5
1752939547;0.01771;45.330997467;37.266510010;12.100000381;1.351145864;1.69344;2.50000;2.2000;2;11.5
1752939549;0.01806;45.331001282;37.266483307;12.600000381;1.355778337;1.72700;2.50000;2.1000;2;11.5
1752939553;0.01805;45.330986023;37.266426086;12.600000381;1.400559187;1.72586;1.00000;2.2000;2;11.5
1752939555;0.01761;45.330993652;37.266372681;12.899999619;1.486003041;1.68407;1.00000;2.1000;2;11.5
1752939557;0.01782;45.330993652;37.266334534;13.100000381;1.362984419;1.70359;2.00000;2.1000;2;11.5
1752939561;0.01917;45.330997467;37.266284943;13.399999619;1.336218834;1.83333;2.00000;2.1000;2;11.5
1752939563;0.01878;45.330989838;37.266246796;13.500000000;1.372764111;1.79568;1.00000;2.2000;2;11.5
1752939565;0.01915;45.330993652;37.266197205;13.800000191;1.307909131;1.83135;3.00000;2.1000;2;11.5
1752939567;0.01903;45.330997467;37.266170502;14.000000000;1.201361656;1.81946;2.50000;2.1000;2;11.5
1752939571;0.01782;45.330989838;37.266128540;13.800000191;1.211656094;1.70359;0.50000;2.1000;2;11.5
1752939573;0.01727;45.330978394;37.266098022;13.500000000;1.093784690;1.65161;0.50000;2.1000;2;11.5
1752939575;0.01700;45.330966949;37.266071320;13.500000000;0.992384434;1.62551;1.50000;2.2000;2;11.5
1752939577;0.01676;45.330955505;37.266029358;13.800000191;1.086578608;1.60200;1.00000;2.2000;2;11.5
1752939581;0.01527;45.330940247;37.265991211;14.699999809;1.047974467;1.46029;3.00000;2.2000;2;11.5
1752939585;0.01635;45.330894470;37.265968323;15.399999619;1.055695295;1.56363;3.00000;2.5000;2;11.5
1752939587;0.01629;45.330863953;37.265945435;16.000000000;1.174596071;1.55767;1.00000;2.4000;2;11.5
1752939589;0.01644;45.330844879;37.265933990;16.399999619;1.323865533;1.57143;3.50000;2.2000;2;11.5
1752939591;0.01624;45.330821991;37.265922546;15.899999619;1.377396703;1.55316;0.50000;2.2000;2;11.5
1752939595;0.01538;45.330791473;37.265914917;15.500000000;1.343939781;1.47007;0.00000;2.2000;2;11.5
1752939597;0.01488;45.330776215;37.265907288;15.600000381;1.182316899;1.42298;1.00000;2.1000;2;11.5
1752939599;0.01517;45.330757141;37.265899658;15.399999619;1.053636432;1.45072;2.00000;2.1000;2;11.5
1752939611;0.01511;45.330726624;37.265937805;11.600000381;0.525016665;1.44435;3.50000;1.7000;2;11.5
1752939615;0.01593;45.330707550;37.265953064;10.899999619;0.635681927;1.52315;3.50000;1.7000;2;11.5
1752939623;0.01841;45.330738068;37.265926361;8.100000381;0.393762499;1.76030;1.50000;1.7000;2;11.5
1752939627;0.01853;45.330760956;37.265914917;8.199999809;0.585753918;1.77158;2.00000;1.8000;2;11.5
1752939629;0.01892;45.330780029;37.265914917;7.699999809;0.710316658;1.80856;1.50000;1.9000;2;11.5
1752939631;0.01879;45.330806732;37.265911102;7.099999905;0.844144464;1.79667;2.00000;2.1000;2;11.5
1752939633;0.01958;45.330818176;37.265888214;5.599999905;0.885836959;1.87175;1.50000;2.0000;2;11.5
1752939635;0.01891;45.330841064;37.265876770;5.000000000;0.973854423;1.80757;1.00000;1.9000;2;11.5
1752939637;0.01929;45.330860138;37.265857697;5.000000000;1.099961400;1.84456;2.00000;1.9000;2;11.5
1752939639;0.01985;45.330879211;37.265846252;4.699999809;1.196729183;1.89829;3.00000;1.9000;2;11.5
1752939643;0.01917;45.330905914;37.265808105;4.000000000;1.112314701;1.83267;0.00000;2.0000;2;11.5
1752939645;0.01878;45.330932617;37.265792847;4.000000000;1.147315860;1.79568;1.50000;2.0000;2;11.5
1752939647;0.01928;45.330963135;37.265769958;4.300000191;1.163272262;1.84324;3.50000;2.1000;2;11.5
